,EmployeeID,FirstName,LastName,Position,StoreID,HireDate,Salary
0,1,Danielle,Johnson,Security,1,2021-04-07,32250.97
1,2,Jeffrey,Doyle,Clerk,2,2023-02-10,50088.97
2,3,Patricia,Miller,Security,1,2021-12-09,90902.95
3,4,Anthony,Robinson,Janitorial Staff,1,2022-04-28,83144.33
4,5,Anthony,Gonzalez,Manager,1,2022-12-27,38432.57
5,6,Amy,Robinson,Cashier,5,2022-09-16,84181.69
6,7,Lisa,Smith,Janitorial Staff,2,2023-09-15,94441.77
7,8,Helen,Peterson,Security,5,2020-09-18,67756.78
8,9,Susan,Rogers,Butcher,5,2020-06-04,55037.16
9,10,Colin,Abbott,Manager,2,2022-10-11,92832.55
10,11,Lindsay,Blair,Clerk,3,2022-06-19,43993.15
11,12,Teresa,Gray,Clerk,1,2022-07-16,38347.13
12,13,Maria,Montgomery,Manager,3,2023-12-18,106274.49
13,14,Barbara,Bush,Janitorial Staff,3,2020-03-17,102641.54
14,15,Jeremy,Roberts,Security,4,2020-05-14,78260.53
15,16,Jesse,Garcia,Butcher,1,2021-04-11,79683.66
16,17,Cynthia,Diaz,Security,5,2021-09-13,109690.66
17,18,Jason,Adams,Clerk,5,2024-04-22,47305.97
18,19,Deborah,Lynch,Manager,1,2020-10-14,89513.7
19,20,Jessica,Martin,Clerk,1,2021-09-29,106978.59
20,21,Veronica,Bowman,Manager,4,2022-07-24,55017.62
21,22,Gabrielle,Cameron,Security,3,2023-07-27,44638.87
22,23,Jeremy,Johnson,Clerk,2,2021-06-13,90315.77
23,24,Joseph,Clark,Security,1,2024-05-03,84821.79
24,25,Nancy,Edwards,Cashier,5,2023-01-06,95621.41
25,26,Randall,Rocha,Cashier,4,2022-02-09,64150.99
26,27,Joseph,Wright,Security,5,2022-08-01,49765.37
27,28,Jose,Richards,Clerk,1,2024-02-17,50614.33
28,29,Reginald,Robinson,Manager,3,2024-08-02,66104.83
29,30,William,Davis,Manager,2,2020-03-20,112182.25
30,31,Daniel,Burton,Janitorial Staff,3,2023-08-23,49136.39
31,32,Robert,Brown,Butcher,4,2021-10-03,109621.48
32,33,Wendy,Rice,Security,4,2024-06-19,42858.44
33,34,Michelle,Smith,Cashier,2,2023-04-25,97049.01
34,35,Erin,Herrera,Janitorial Staff,3,2021-03-24,97231.24
35,36,Danielle,Rodriguez,Butcher,5,2021-12-31,65946.05
36,37,Shawn,Mckay,Cashier,2,2024-01-11,75857.37
37,38,Jose,Mason,Manager,1,2020-10-27,107499.26
38,39,Rita,Harrell,Cashier,2,2021-05-16,101287.14
39,40,Danielle,Lynch,Butcher,5,2020-09-13,35717.49
40,41,Kathryn,Ryan,Butcher,5,2023-08-01,119650.92
41,42,Alyssa,Smith,Janitorial Staff,3,2021-06-28,117397.05
42,43,Andrew,Hickman,Manager,1,2024-01-16,91353.93
43,44,Marie,Parker,Janitorial Staff,3,2020-04-07,99173.89
44,45,Natalie,Arroyo,Clerk,1,2020-05-23,56415.01
45,46,Todd,Jones,Cashier,4,2023-07-01,30292.08
46,47,Katie,Anderson,Security,3,2022-03-09,117469.93
47,48,Andrea,Baker,Cashier,5,2024-01-05,112136.51
48,49,Rodney,Lewis,Security,3,2022-06-25,105750.24
49,50,Jessica,Harris,Janitorial Staff,5,2021-06-07,47902.0
50,51,Wanda,Santos,Clerk,2,2022-01-06,78544.11
51,52,Zachary,Martinez,Janitorial Staff,1,2021-01-12,83905.01
52,53,Matthew,Chapman,Butcher,1,2021-01-21,40068.1
53,54,Jeffrey,Jones,Clerk,3,2022-11-26,51550.71
54,55,Jeremy,Whitehead,Cashier,5,2023-12-15,115225.45
55,56,Chad,Young,Manager,4,2023-01-28,103442.09
56,57,Jason,Anderson,Janitorial Staff,2,2024-04-20,41555.23
57,58,Ashley,Kennedy,Butcher,5,2023-08-11,44861.43
58,59,Lindsey,Lee,Janitorial Staff,5,2020-06-11,68082.41
59,60,Ryan,Henderson,Cashier,5,2022-02-23,97973.87
60,61,Jessica,Nunez,Security,2,2024-07-11,94165.41
61,62,Corey,Powell,Butcher,3,2021-07-24,69429.01
62,63,Michelle,Wright,Janitorial Staff,4,2020-11-15,40890.38
63,64,Shane,Henderson,Cashier,1,2021-04-12,60427.7
64,65,John,Leblanc,Janitorial Staff,5,2022-01-14,50710.33
65,66,Michelle,Pierce,Cashier,1,2020-03-25,36389.38
66,67,Yvette,Huff,Security,1,2024-06-15,50604.76
67,68,Sara,Allison,Manager,3,2020-10-06,36377.16
68,69,Todd,Lewis,Cashier,3,2021-11-04,90208.0
69,70,Brian,Gray,Cashier,5,2024-07-13,41908.07
70,71,Joseph,Bowers,Janitorial Staff,5,2022-02-03,72540.39
71,72,Rodney,Bernard,Butcher,4,2024-07-30,47136.89
72,73,Angela,Higgins,Manager,4,2020-09-17,61886.78
73,74,Kenneth,Novak,Butcher,4,2022-08-31,107745.31
74,75,Amy,Adkins,Manager,1,2020-04-06,35455.14
75,76,Breanna,Shaw,Security,3,2023-12-03,102053.33
76,77,Eric,Yu,Manager,2,2020-05-14,47243.11
77,78,Jacob,Larson,Janitorial Staff,4,2023-02-08,42616.41
78,79,Joe,Wilson,Cashier,3,2024-02-04,71636.53
79,80,John,Wheeler,Manager,4,2022-11-06,102722.0
80,81,Robert,Silva,Janitorial Staff,1,2022-05-28,34552.95
81,82,Sarah,Harris,Janitorial Staff,1,2023-04-18,117209.66
82,83,John,Foster,Cashier,2,2023-02-02,66577.27
83,84,Kevin,Stewart,Butcher,2,2023-06-17,107818.54
84,85,Charles,Ellis,Manager,2,2024-08-04,64107.58
85,86,Wendy,Jones,Butcher,3,2020-12-24,113386.63
86,87,Joseph,Mahoney,Butcher,3,2024-01-19,68070.67
87,88,Natasha,Wood,Security,5,2020-09-22,89568.42
88,89,Martha,Warner,Butcher,2,2022-10-24,47090.81
89,90,Vanessa,Valdez,Cashier,1,2020-01-14,82126.23
90,91,Lisa,Evans,Janitorial Staff,1,2023-01-19,97317.8
91,92,Sheila,Taylor,Manager,1,2020-07-12,82575.98
92,93,Daniel,Tran,Janitorial Staff,5,2021-04-02,44168.95
